Region,Blumarine: (8/10/22 - 8/10/23)
New York,100
California,65
New Jersey,53
Massachusetts,48
Georgia,41
Virginia,36
Florida,35
Washington,35
Texas,32
Illinois,30
Maryland,29
Pennsylvania,27
Michigan,18
Hawaii,
District of Columbia,
Alaska,
North Dakota,
Oregon,
Connecticut,
Tennessee,
Montana,
Colorado,
New Hampshire,
Indiana,
Ohio,
Alabama,
South Carolina,
Arkansas,
Arizona,
New Mexico,
Minnesota,
Utah,
North Carolina,
Oklahoma,
Nevada,
Missouri,
Kansas,
Nebraska,
Kentucky,
Louisiana,
Iowa,
Wisconsin,
Delaware,
Idaho,
Maine,
Mississippi,
Rhode Island,
South Dakota,
Vermont,
West Virginia,
Wyoming,
