Region,Maison Margiela: (8/10/22 - 8/10/23)
District of Columbia,100
New York,87
California,64
New Jersey,57
Maryland,51
Georgia,49
Nevada,44
Illinois,43
Hawaii,42
Massachusetts,41
Rhode Island,37
Pennsylvania,36
Washington,36
Delaware,36
Connecticut,36
Virginia,32
Florida,29
Texas,29
Oregon,28
Louisiana,27
Missouri,26
Michigan,26
Arizona,25
North Carolina,24
Ohio,23
Mississippi,23
Tennessee,21
South Carolina,20
Indiana,19
Colorado,19
Minnesota,19
Utah,18
Alabama,18
New Hampshire,18
Wisconsin,17
Iowa,15
Kentucky,15
Kansas,14
Arkansas,14
Maine,12
Oklahoma,12
Idaho,12
Nebraska,12
New Mexico,11
West Virginia,8
Vermont,
North Dakota,
Wyoming,
South Dakota,
Montana,
Alaska,
