Week,Maison Margiela: (United States),Blumarine: (United States),Diesel: (United States)
8/14/2022,30,3,56
8/21/2022,30,2,50
8/28/2022,37,2,53
9/4/2022,39,3,54
9/11/2022,31,2,54
9/18/2022,33,3,70
9/25/2022,32,3,61
10/2/2022,34,3,60
10/9/2022,32,3,65
10/16/2022,33,2,67
10/23/2022,29,2,87
10/30/2022,31,2,100
11/6/2022,36,3,75
11/13/2022,36,2,72
11/20/2022,55,3,87
11/27/2022,48,3,80
12/4/2022,39,3,71
12/11/2022,41,3,78
12/18/2022,45,2,79
12/25/2022,46,1,85
1/1/2023,39,4,75
1/8/2023,37,3,72
1/15/2023,41,3,69
1/22/2023,45,3,68
1/29/2023,39,3,66
2/5/2023,43,2,67
2/12/2023,44,3,66
2/19/2023,41,4,77
2/26/2023,39,3,70
3/5/2023,37,4,77
3/12/2023,36,3,73
3/19/2023,38,4,77
3/26/2023,40,3,73
4/2/2023,34,4,71
4/9/2023,35,3,74
4/16/2023,40,4,71
4/23/2023,36,4,74
4/30/2023,33,4,72
5/7/2023,32,3,66
5/14/2023,37,3,63
5/21/2023,38,4,78
5/28/2023,34,3,80
6/4/2023,35,3,68
6/11/2023,34,3,79
6/18/2023,37,2,72
6/25/2023,36,3,73
7/2/2023,33,4,76
7/9/2023,35,3,75
7/16/2023,34,3,81
7/23/2023,44,3,84
7/30/2023,40,3,83
